"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 31 16:25:27 UTC 2021","Mon May 31 16:25:31 UTC 2021","4209","","jp.shiftinc.automation.WebDriverTest","","jp.shiftinc.automation.WebDriverTest","edgeTest90","repetition 4 of 5",""
"passed","Mon May 31 16:25:49 UTC 2021","Mon May 31 16:25:52 UTC 2021","3028","","jp.shiftinc.automation.WebDriverTest","","jp.shiftinc.automation.WebDriverTest","edgeTest91","repetition 5 of 5",""
"passed","Mon May 31 16:25:46 UTC 2021","Mon May 31 16:25:49 UTC 2021","2928","","jp.shiftinc.automation.WebDriverTest","","jp.shiftinc.automation.WebDriverTest","edgeTest91","repetition 4 of 5",""
"passed","Mon May 31 16:25:31 UTC 2021","Mon May 31 16:25:34 UTC 2021","3187","","jp.shiftinc.automation.WebDriverTest","","jp.shiftinc.automation.WebDriverTest","edgeTest90","repetition 5 of 5",""
"passed","Mon May 31 16:25:38 UTC 2021","Mon May 31 16:25:43 UTC 2021","4670","","jp.shiftinc.automation.WebDriverTest","","jp.shiftinc.automation.WebDriverTest","edgeTest91","repetition 2 of 5",""
"passed","Mon May 31 16:25:21 UTC 2021","Mon May 31 16:25:27 UTC 2021","5762","","jp.shiftinc.automation.WebDriverTest","","jp.shiftinc.automation.WebDriverTest","edgeTest90","repetition 3 of 5",""
"passed","Mon May 31 16:25:13 UTC 2021","Mon May 31 16:25:21 UTC 2021","8238","","jp.shiftinc.automation.WebDriverTest","","jp.shiftinc.automation.WebDriverTest","edgeTest90","repetition 2 of 5",""
"passed","Mon May 31 16:24:58 UTC 2021","Mon May 31 16:25:13 UTC 2021","14704","","jp.shiftinc.automation.WebDriverTest","","jp.shiftinc.automation.WebDriverTest","edgeTest90","repetition 1 of 5",""
"passed","Mon May 31 16:25:34 UTC 2021","Mon May 31 16:25:38 UTC 2021","3583","","jp.shiftinc.automation.WebDriverTest","","jp.shiftinc.automation.WebDriverTest","edgeTest91","repetition 1 of 5",""
"passed","Mon May 31 16:25:43 UTC 2021","Mon May 31 16:25:46 UTC 2021","3598","","jp.shiftinc.automation.WebDriverTest","","jp.shiftinc.automation.WebDriverTest","edgeTest91","repetition 3 of 5",""
